Participant	FingersCount	TouchArea	SmallestInscribedCircleRadius	MeanPairedDistance	MedianPairedDistance	MinPairedDistance	MaxPairedDistance	SDPairedDistance	MeanCentroidVertexDistance	MedianCentroidVertexDistance	MinCentroidVertexDistance	MaxCentroidVertexDistance	SDCentroidVertexDistance	MeanCircleCenterVertexDistance	MedianCircleCenterVertexDistance	MinCircleCenterVertexDistance	MaxCircleCenterVertexDistance	SDCircleCenterVertexDistance	MeanAngleSuccessiveVertices	MedianAngleSuccessiveVertices	MinAngleSuccessiveVertices	MaxAngleSuccessiveVertices	SDAngleSuccessiveVertices	class
0	3	-3456	53.2	90.81	94.87	77.42	100.13	11.89	52.46	50.6	47.1	59.68	6.5	53.2	53.2	53.2	53.2	0	2.09	2.18	1.83	2.27	0.23	Triangle_5
0	3	-6242	79	127.29	118.73	105.15	157.99	27.44	73.21	80.24	53.07	86.32	17.7	79	79	79	79	0	2.09	2	1.78	2.5	0.37	Square_5
0	3	-1638	39.02	64.4	64.82	50.91	77.47	13.28	37.17	37.98	29.03	44.49	7.76	39.02	39.02	39.02	39.02	0	2.09	2.13	1.71	2.44	0.37	Triangle_3
0	3	-3444	51.67	89.34	87.97	86.53	93.52	3.69	51.58	52.42	49.11	53.21	2.17	51.67	51.67	51.67	51.67	0	2.09	2.07	2.04	2.17	0.07	Circle_3
0	3	-4026	86.86	115.41	94.37	93.72	158.15	37.01	65.23	80.75	33.94	81	27.09	86.86	86.86	86.86	86.86	0	2.09	1.79	1.77	2.72	0.54	Rectangle_5
0	3	-5453	67.99	115.18	123.31	93.17	129.07	19.28	66.6	62.78	58.8	78.21	10.25	67.99	67.99	67.99	67.99	0	2.09	2.23	1.75	2.31	0.3	Circle_4
0	3	-3036	68.85	96.84	80.28	79.92	130.31	28.99	55.01	66.91	31.06	67.05	20.74	68.85	68.85	68.85	68.85	0	2.09	1.81	1.8	2.67	0.5	Rectangle_4
0	3	-7175.5	81.05	134.81	143.28	102.08	159.05	29.41	78	75.21	63.77	95	15.8	81.05	81.05	81.05	81.05	0	2.09	2.23	1.64	2.41	0.4	Circle_5
0	3	-2624	45.14	78.01	76.85	75.17	82.02	3.57	45.04	45.77	42.67	46.69	2.11	45.14	45.14	45.14	45.14	0	2.09	2.07	2.03	2.18	0.08	Triangle_4
0	3	-1880	56.38	77.46	67.6	59.67	105.12	24.28	43.95	52.33	24.06	55.46	17.3	56.38	56.38	56.38	56.38	0	2.09	1.92	1.67	2.7	0.54	Square_3
