@relation whatever

@attribute Participant numeric
@attribute FingersCount numeric
@attribute TouchArea numeric
@attribute SmallestInscribedCircleRadius numeric
@attribute MeanPairedDistance numeric
@attribute MedianPairedDistance numeric
@attribute MinPairedDistance numeric
@attribute MaxPairedDistance numeric
@attribute SDPairedDistance numeric
@attribute MeanCentroidVertexDistance numeric
@attribute MedianCentroidVertexDistance numeric
@attribute MinCentroidVertexDistance numeric
@attribute MaxCentroidVertexDistance numeric
@attribute SDCentroidVertexDistance numeric
@attribute MeanCircleCenterVertexDistance numeric
@attribute MedianCircleCenterVertexDistance numeric
@attribute MinCircleCenterVertexDistance numeric
@attribute MaxCircleCenterVertexDistance numeric
@attribute SDCircleCenterVertexDistance numeric
@attribute MeanAngleSuccessiveVertices numeric
@attribute MedianAngleSuccessiveVertices numeric
@attribute MinAngleSuccessiveVertices numeric
@attribute MaxAngleSuccessiveVertices numeric
@attribute SDAngleSuccessiveVertices numeric
@attribute class {Circle_4, Rectangle_5, Circle_5, Triangle_4, Triangle_5, Circle_3, Square_5, Square_4, Square_3, Triangle_3, Rectangle_3, Rectangle_4}

@data
1, 3, -4605, 65.22, 108.58, 120.93, 78.92, 125.87, 25.8, 62.95, 57.27, 53.61, 77.97, 13.13, 65.22, 65.22, 65.22, 65.22, 0, 2.09, 2.32, 1.58, 2.38, 0.44, Circle_4
1, 3, -3606, 90.62, 113.51, 99.16, 83.49, 157.89, 39.23, 63.95, 77.44, 31.04, 83.37, 28.65, 90.62, 90.62, 90.62, 90.62, 0, 2.09, 1.95, 1.57, 2.76, 0.61, Rectangle_5
1, 3, -5407, 77.56, 124.29, 141.99, 76.56, 154.31, 41.79, 72.5, 65.98, 56.01, 95.5, 20.54, 77.56, 77.56, 77.56, 77.56, 0, 2.09, 2.4, 1.35, 2.53, 0.65, Circle_5
1, 3, -2537.5, 44.38, 76.71, 77.49, 72.84, 79.81, 3.55, 44.29, 43.9, 42.49, 46.48, 2.02, 44.38, 44.38, 44.38, 44.38, 0, 2.09, 2.11, 2.01, 2.16, 0.08, Triangle_4
1, 3, -3363.5, 53.41, 90.12, 83.24, 82.57, 104.55, 12.5, 51.97, 56.34, 42.9, 56.67, 7.86, 53.41, 53.41, 53.41, 53.41, 0, 2.09, 1.97, 1.95, 2.36, 0.23, Triangle_5
1, 3, -3068.5, 50.83, 86.26, 92.66, 70.21, 95.9, 13.99, 49.87, 46.75, 44.51, 58.34, 7.42, 50.83, 50.83, 50.83, 50.83, 0, 2.09, 2.23, 1.76, 2.29, 0.3, Circle_3
1, 3, -5650, 77.02, 123, 123.43, 91.55, 154.03, 31.24, 70.93, 73.77, 51.11, 87.9, 18.56, 77.02, 77.02, 77.02, 77.02, 0, 2.09, 2.15, 1.61, 2.52, 0.46, Square_5
1, 3, -4317, 65.39, 105.89, 103.48, 83.49, 130.7, 23.7, 61, 64.46, 45.06, 73.49, 14.53, 65.39, 65.39, 65.39, 65.39, 0, 2.09, 2.09, 1.71, 2.49, 0.39, Square_4
1, 3, -2598, 52, 82.79, 76.16, 68.26, 103.94, 18.74, 47.56, 52.84, 33.53, 56.32, 12.28, 52, 52, 52, 52, 0, 2.09, 1.98, 1.78, 2.52, 0.38, Square_3
1, 3, -1626, 37.87, 63.39, 64.13, 51.62, 74.4, 11.41, 36.6, 36.95, 29.85, 42.99, 6.58, 37.87, 37.87, 37.87, 37.87, 0, 2.09, 2.14, 1.76, 2.39, 0.32, Triangle_3
