@relation features_1_cfs_filter

@attribute TouchArea numeric
@attribute SmallestInscribedCircleRadius numeric
@attribute MeanPairedDistance numeric
@attribute MedianPairedDistance numeric
@attribute MinPairedDistance numeric
@attribute MaxPairedDistance numeric
@attribute SDPairedDistance numeric
@attribute MeanCentroidVertexDistance numeric
@attribute MedianCentroidVertexDistance numeric
@attribute MinCentroidVertexDistance numeric
@attribute MaxCentroidVertexDistance numeric
@attribute MeanCircleCenterVertexDistance numeric
@attribute MedianAngleSuccessiveVertices numeric
@attribute MinAngleSuccessiveVertices numeric
@attribute MaxAngleSuccessiveVertices numeric
@attribute class {Circle_4,Rectangle_5,Circle_5,Triangle_4,Triangle_5,Circle_3,Square_5,Square_4,Square_3,Triangle_3,Rectangle_3,Rectangle_4}

@data
-4605,65.22,108.58,120.93,78.92,125.87,25.8,62.95,57.27,53.61,77.97,65.22,2.32,1.58,2.38,Circle_4
-3606,90.62,113.51,99.16,83.49,157.89,39.23,63.95,77.44,31.04,83.37,90.62,1.95,1.57,2.76,Rectangle_5
-5407,77.56,124.29,141.99,76.56,154.31,41.79,72.5,65.98,56.01,95.5,77.56,2.4,1.35,2.53,Circle_5
-2537.5,44.38,76.71,77.49,72.84,79.81,3.55,44.29,43.9,42.49,46.48,44.38,2.11,2.01,2.16,Triangle_4
-3363.5,53.41,90.12,83.24,82.57,104.55,12.5,51.97,56.34,42.9,56.67,53.41,1.97,1.95,2.36,Triangle_5
-3068.5,50.83,86.26,92.66,70.21,95.9,13.99,49.87,46.75,44.51,58.34,50.83,2.23,1.76,2.29,Circle_3
-5650,77.02,123,123.43,91.55,154.03,31.24,70.93,73.77,51.11,87.9,77.02,2.15,1.61,2.52,Square_5
-4317,65.39,105.89,103.48,83.49,130.7,23.7,61,64.46,45.06,73.49,65.39,2.09,1.71,2.49,Square_4
-2598,52,82.79,76.16,68.26,103.94,18.74,47.56,52.84,33.53,56.32,52,1.98,1.78,2.52,Square_3
-1626,37.87,63.39,64.13,51.62,74.4,11.41,36.6,36.95,29.85,42.99,37.87,2.14,1.76,2.39,Triangle_3
-1884,54.07,76.97,74.89,52.63,103.39,25.44,44.06,48.66,25.96,57.57,54.07,2.14,1.46,2.68,Rectangle_3
-3384,68.15,100.2,94.02,74.03,132.54,29.74,57.31,64.34,35.07,72.52,68.15,2.05,1.6,2.64,Square_4
-2013,80.24,89.97,72.12,70.21,127.58,32.58,50.12,64.3,21.05,65,80.24,1.77,1.7,2.81,Rectangle_4
-2362,45.92,76.4,71.7,66.48,91.02,12.93,44.03,47.46,34.7,49.92,45.92,2,1.87,2.41,Triangle_4
-3071.5,65.97,102.05,125.4,49.09,131.65,45.97,60.46,51.38,45.87,84.13,65.97,2.58,1.05,2.65,Circle_4
-2291,49.43,79.78,89.68,51.42,98.23,24.93,46.43,42.88,36.09,60.31,49.43,2.36,1.41,2.51,Circle_3
-2507,44.05,76.19,76.97,73.06,78.55,2.82,43.99,43.58,42.63,45.77,44.05,2.11,2.02,2.15,Triangle_4
-3711,65.64,101.06,87,86.05,130.14,25.18,57.87,67.59,38.02,67.99,65.64,1.87,1.84,2.57,Square_4
-1686.5,37.52,63.76,66.94,53,71.34,9.58,36.84,35.46,32.47,42.6,37.52,2.19,1.79,2.3,Triangle_3
-2070,50.48,76.37,65.05,64.64,99.41,19.96,43.66,51.52,27.76,51.69,50.48,1.85,1.84,2.6,Square_3
-1742,56.92,75.91,65.79,58,103.94,24.59,42.96,51.65,22.56,54.67,56.92,1.91,1.65,2.72,Rectangle_3
