TouchArea,SmallestInscribedCircleRadius,MeanPairedDistance,MedianPairedDistance,MinPairedDistance,MaxPairedDistance,SDPairedDistance,MeanCentroidVertexDistance,MedianCentroidVertexDistance,MinCentroidVertexDistance,MaxCentroidVertexDistance,MeanCircleCenterVertexDistance,MedianAngleSuccessiveVertices,MinAngleSuccessiveVertices,MaxAngleSuccessiveVertices,class
-3952.5,56.58,96.83,101.24,83.74,105.51,11.54,55.93,53.79,50.98,63.03,56.58,2.18,1.85,2.25,Triangle_5
-3252.0,51.06,87.59,91.59,76.94,94.25,9.32,50.59,48.56,46.82,56.4,51.06,2.18,1.88,2.23,Rectangle_4
-6198.0,70.22,120.66,123.65,108.17,130.17,11.3,69.68,68.31,64.15,76.57,70.22,2.14,1.91,2.23,Circle_4
-4211.5,57.78,99.38,103.31,89.14,105.7,8.95,57.39,55.34,53.82,63.02,57.78,2.17,1.91,2.21,Rectangle_5
-7704.5,89.35,145.68,170.5,93.13,173.42,45.53,84.91,73.35,71.03,110.36,89.35,2.43,1.4,2.45,Square_5
-5540.5,75.03,122.78,143.96,80.01,144.37,37.04,71.5,61.25,60.93,92.34,75.03,2.43,1.43,2.43,Square_4
-1949.0,39.45,67.74,70.26,60.03,72.92,6.8,39.12,37.87,36.16,43.34,39.45,2.16,1.89,2.23,Rectangle_3
-3683.0,60.2,98.84,110.22,68.01,118.31,27.01,57.4,52.81,46.61,72.77,60.2,2.33,1.5,2.45,Square_3
-5831.0,75.29,124.07,140.04,85.48,146.71,33.59,72.07,65.02,59.91,91.26,75.29,2.35,1.51,2.43,Square_4
-2006.0,40.16,68.84,71.02,60.54,74.95,7.45,39.75,38.76,36.21,44.29,40.16,2.16,1.88,2.25,Triangle_3
-5688.0,68.21,116.5,124.19,98.73,126.57,15.43,67.31,63.34,61.76,76.84,68.21,2.22,1.82,2.25,Circle_4
-3610.0,53.8,92.3,96.57,81.02,99.3,9.86,53.31,51.13,49.35,59.45,53.8,2.18,1.88,2.23,Circle_3
-2905.0,47.75,82.32,85.16,75.45,86.35,5.98,47.53,46.0,45.26,51.34,47.75,2.16,1.95,2.18,Triangle_4
-2994.0,48.57,83.63,82.29,78.23,90.35,6.17,48.28,49.21,44.25,51.37,48.57,2.07,1.98,2.23,Rectangle_4
-6321.5,86.2,137.63,166.65,77.52,168.72,52.06,80.77,67.64,65.91,108.76,86.2,2.51,1.24,2.53,Square_5
-1868.0,38.87,66.55,70.88,57.43,71.34,7.9,38.45,36.14,35.83,43.37,38.87,2.21,1.85,2.22,Rectangle_3
-2162.0,40.91,70.76,71.03,68.0,73.25,2.63,40.85,40.73,39.4,42.42,40.91,2.1,2.03,2.16,Rectangle_3
-5496.0,68.0,115.41,124.06,94.02,128.16,18.64,66.72,62.48,59.67,78.03,68.0,2.24,1.76,2.29,Circle_4
-2706.0,46.34,79.68,82.1,71.56,85.38,7.22,46.01,44.82,42.73,50.48,46.34,2.15,1.91,2.22,Triangle_4
-8522.0,82.74,141.87,147.71,124.4,153.5,15.4,81.94,79.06,75.3,91.46,82.74,2.17,1.87,2.24,Circle_5
-1803.0,38.6,65.68,66.07,56.86,74.11,8.63,37.92,38.13,32.84,42.79,38.6,2.12,1.85,2.31,Triangle_3
-2796.0,46.56,80.51,82.02,76.49,83.01,3.52,46.48,45.65,45.05,48.75,46.56,2.13,2.01,2.15,Triangle_4
-3517.5,57.85,95.81,110.06,67.0,110.37,24.95,55.63,48.56,48.33,70.0,57.85,2.38,1.53,2.38,Square_3
-3061.5,48.67,84.19,84.22,81.15,87.21,3.03,48.61,48.64,46.85,50.34,48.67,2.1,2.03,2.16,Rectangle_4
-4980.0,71.95,117.13,135.2,75.17,141.03,36.46,68.25,60.37,55.75,88.63,71.95,2.4,1.41,2.47,Square_4
-1832.5,37.71,65.18,65.19,62.27,68.1,2.91,37.63,37.68,35.93,39.3,37.71,2.1,2.02,2.17,Triangle_3
-5910.0,83.22,132.91,160.38,75.17,163.19,50.03,77.98,65.69,63.34,104.91,83.22,2.51,1.24,2.53,Square_5
-3153.0,51.1,86.91,87.82,74.81,98.08,11.66,50.18,50.24,43.46,56.83,51.1,2.12,1.85,2.31,Circle_3
-4126.5,56.96,98.14,98.76,90.67,105.0,7.19,56.66,56.51,52.63,60.86,56.96,2.11,1.96,2.21,Rectangle_5
-3833.5,54.68,94.39,91.68,91.14,100.34,5.17,54.49,56.12,50.94,56.41,54.68,2.05,2.04,2.2,Triangle_5
-3214.5,52.99,89.22,97.29,69.26,101.12,17.39,51.63,47.82,45.09,61.99,52.99,2.27,1.68,2.33,Rectangle_5
-7598.0,89.06,144.24,160.44,95.35,176.92,43.13,83.83,78.21,65.29,108.01,89.06,2.34,1.44,2.5,Circle_5
-3577.0,55.02,93.14,96.32,77.1,106.0,14.71,53.81,52.79,46.2,62.43,55.02,2.17,1.78,2.33,Circle_3
-3785.0,54.28,93.75,91.42,90.55,99.28,4.81,54.12,55.53,50.83,56.0,54.28,2.05,2.04,2.2,Triangle_5
-7860.0,81.11,137.84,150.36,112.75,150.42,21.73,79.69,73.08,73.04,92.95,81.11,2.26,1.76,2.26,Circle_5
-3824.0,60.08,99.48,109.77,71.34,117.34,24.66,57.69,53.4,47.74,71.92,60.08,2.3,1.56,2.42,Square_3
-5761.0,69.19,117.77,127.91,97.33,128.08,17.7,68.08,62.71,62.59,78.92,69.19,2.25,1.78,2.25,Circle_4
-5742.5,69.42,117.9,127.68,96.18,129.85,18.84,68.16,63.18,61.68,79.63,69.42,2.25,1.76,2.28,Circle_4
-3778.0,58.72,98.02,109.42,72.03,112.61,22.56,56.81,51.39,49.04,70.01,58.72,2.32,1.6,2.37,Square_3
-3650.0,58.33,96.88,107.28,70.06,113.3,23.42,56.17,51.62,47.14,69.75,58.33,2.31,1.58,2.4,Square_3
-2164.0,40.92,70.79,70.83,68.18,73.35,2.58,40.87,40.88,39.37,42.35,40.92,2.1,2.03,2.16,Rectangle_3
-2208.5,41.31,71.48,72.07,69.03,73.36,2.22,41.27,40.96,40.19,42.67,41.31,2.11,2.03,2.14,Rectangle_3
-7289.0,89.05,143.86,168.69,88.01,174.9,48.47,84.03,73.19,68.16,110.73,89.05,2.44,1.34,2.5,Square_5
-7271.5,88.43,143.18,167.86,88.46,173.22,47.47,83.59,72.63,68.31,109.82,88.43,2.44,1.36,2.49,Square_5
-1857.5,39.28,66.82,69.64,56.08,74.73,9.64,38.6,37.43,34.0,44.38,39.28,2.18,1.8,2.3,Rectangle_3
-1844.0,38.94,66.32,66.13,58.14,74.71,8.29,38.29,38.8,33.21,42.85,38.94,2.1,1.87,2.31,Rectangle_3
-2031.0,40.14,69.01,70.18,62.43,74.43,6.09,39.85,39.37,36.67,43.5,40.14,2.13,1.93,2.23,Triangle_3
-2048.5,40.54,69.52,71.85,61.29,75.43,7.35,40.15,39.06,36.74,44.65,40.54,2.16,1.88,2.24,Triangle_3
-4406.5,58.53,101.12,99.73,97.08,106.55,4.88,58.38,59.26,55.17,60.71,58.53,2.07,2.03,2.19,Rectangle_5
-4464.0,59.04,101.89,101.64,96.0,108.05,6.03,58.83,59.11,55.19,62.18,59.04,2.09,1.99,2.2,Rectangle_5
-2737.0,46.62,80.12,80.13,73.11,87.13,7.01,46.26,46.49,42.08,50.2,46.62,2.1,1.94,2.24,Triangle_4
-2714.5,46.17,79.56,78.39,74.81,85.48,5.43,45.93,46.74,42.4,48.65,46.17,2.07,1.99,2.22,Triangle_4
-2878.0,47.43,81.85,83.38,76.06,86.09,5.19,47.26,46.48,44.8,50.49,47.43,2.13,1.97,2.18,Rectangle_4
-2985.0,48.19,83.24,83.26,79.01,87.46,4.23,48.06,48.13,45.58,50.47,48.19,2.1,2.01,2.18,Rectangle_4
-4050.0,56.76,97.54,100.62,87.21,104.79,9.19,56.33,54.82,52.15,62.01,56.76,2.15,1.91,2.22,Rectangle_5
-3975.5,56.55,96.91,99.74,85.29,105.7,10.5,55.97,54.72,50.85,62.33,56.55,2.15,1.88,2.25,Rectangle_5
