TouchArea,SmallestInscribedCircleRadius,MeanPairedDistance,MedianPairedDistance,MinPairedDistance,MaxPairedDistance,SDPairedDistance,MeanCentroidVertexDistance,MedianCentroidVertexDistance,MinCentroidVertexDistance,MaxCentroidVertexDistance,MeanCircleCenterVertexDistance,MedianAngleSuccessiveVertices,MinAngleSuccessiveVertices,MaxAngleSuccessiveVertices,class
-3456.0,53.2,90.81,94.87,77.42,100.13,11.89,52.46,50.6,47.1,59.68,53.2,2.18,1.83,2.27,Triangle_5
-6242.0,79.0,127.29,118.73,105.15,157.99,27.44,73.21,80.24,53.07,86.32,79.0,2.0,1.78,2.5,Square_5
-1638.0,39.02,64.4,64.82,50.91,77.47,13.28,37.17,37.98,29.03,44.49,39.02,2.13,1.71,2.44,Triangle_3
-3444.0,51.67,89.34,87.97,86.53,93.52,3.69,51.58,52.42,49.11,53.21,51.67,2.07,2.04,2.17,Circle_3
-4026.0,86.86,115.41,94.37,93.72,158.15,37.01,65.23,80.75,33.94,81.0,86.86,1.79,1.77,2.72,Rectangle_5
-5453.0,67.99,115.18,123.31,93.17,129.07,19.28,66.6,62.78,58.8,78.21,67.99,2.23,1.75,2.31,Circle_4
-3036.0,68.85,96.84,80.28,79.92,130.31,28.99,55.01,66.91,31.06,67.05,68.85,1.81,1.8,2.67,Rectangle_4
-7175.5,81.05,134.81,143.28,102.08,159.05,29.41,78.0,75.21,63.77,95.0,81.05,2.23,1.64,2.41,Circle_5
-2624.0,45.14,78.01,76.85,75.17,82.02,3.57,45.04,45.77,42.67,46.69,45.14,2.07,2.03,2.18,Triangle_4
-1880.0,56.38,77.46,67.6,59.67,105.12,24.28,43.95,52.33,24.06,55.46,56.38,1.92,1.67,2.7,Square_3
-3035.5,50.33,85.47,87.37,72.35,96.69,12.28,49.36,48.91,42.67,56.5,50.33,2.15,1.82,2.32,Circle_3
-3144.5,67.91,97.39,82.62,79.48,130.08,28.35,55.42,66.37,32.26,67.64,67.91,1.85,1.78,2.66,Rectangle_4
-4802.0,66.03,109.36,103.39,93.51,131.19,19.54,63.01,67.67,49.06,72.31,66.03,2.02,1.84,2.43,Square_4
-1890.0,52.01,75.21,66.04,59.46,100.12,21.83,42.85,50.29,25.32,52.95,52.01,1.92,1.72,2.65,Rectangle_3
-1618.0,36.64,62.21,59.54,56.08,71.02,7.82,35.89,37.76,30.43,39.49,36.64,2.03,1.92,2.33,Triangle_3
-5403.0,67.8,114.64,119.02,94.15,130.75,18.69,66.24,64.77,56.73,77.21,67.8,2.18,1.77,2.34,Circle_4
-3023.0,66.15,95.28,82.1,76.69,127.04,27.64,54.25,64.38,31.81,66.56,66.15,1.88,1.75,2.65,Rectangle_4
-1742.0,37.39,64.11,65.46,56.85,70.01,6.68,37.02,36.49,33.55,41.01,37.39,2.14,1.89,2.25,Triangle_3
-4720.0,64.81,108.35,111.89,86.02,127.12,20.78,62.6,62.0,51.29,74.51,64.81,2.17,1.72,2.39,Circle_4
-6399.0,78.15,127.51,114.69,111.72,156.12,24.82,73.36,82.03,54.67,83.38,78.15,1.93,1.88,2.47,Square_5
-3516.5,52.13,90.21,90.09,87.42,93.11,2.85,52.08,52.18,50.39,53.68,52.13,2.09,2.04,2.15,Triangle_5
-1733.0,52.36,74.5,74.97,48.3,100.24,25.97,42.8,46.12,25.51,56.77,52.36,2.22,1.38,2.68,Rectangle_3
-4165.0,64.18,103.83,98.99,84.17,128.32,22.47,59.76,64.38,43.85,71.06,64.18,2.04,1.75,2.49,Square_4
-3554.0,52.57,90.83,92.35,85.59,94.56,4.67,52.44,51.64,50.29,55.39,52.57,2.12,1.99,2.17,Triangle_5
-7041.0,79.69,132.88,138.97,103.25,156.42,27.1,76.82,75.23,62.79,92.44,79.69,2.2,1.68,2.4,Circle_5
-2463.0,44.45,76.2,76.69,68.26,83.65,7.7,44.0,44.01,39.56,48.41,44.45,2.11,1.91,2.26,Triangle_4
-3715.5,85.23,111.77,93.09,88.53,153.71,36.39,63.11,77.65,32.28,79.4,85.23,1.83,1.72,2.73,Rectangle_5
-5257.5,78.13,120.4,108.6,97.62,154.99,30.45,68.98,78.39,45.49,83.07,78.13,1.95,1.76,2.57,Square_5
-3457.0,85.56,109.7,96.67,80.62,151.8,37.33,61.94,74.34,31.0,80.47,85.56,1.96,1.57,2.75,Rectangle_5
-2990.0,49.74,84.53,81.84,75.58,96.17,10.55,48.78,50.8,41.6,53.93,49.74,2.05,1.91,2.33,Circle_3
-2666.0,50.16,82.22,78.49,68.12,100.04,16.29,47.36,50.7,35.89,55.48,50.16,2.04,1.79,2.46,Square_3
-2484.5,48.2,79.11,72.18,69.03,96.13,14.82,45.54,50.33,34.49,51.79,48.2,1.95,1.88,2.45,Square_3
-6390.0,79.44,129.92,140.41,91.78,157.56,34.12,75.29,72.1,59.11,94.67,79.44,2.28,1.54,2.47,Circle_5
-1847.0,50.66,74.07,67.8,56.22,98.18,21.67,42.3,48.31,25.55,53.03,50.66,2.0,1.64,2.64,Rectangle_3
-2429.5,43.61,75.23,78.16,69.35,78.19,5.09,43.44,41.82,41.8,46.71,43.61,2.16,1.96,2.16,Triangle_4
-4350.0,63.97,104.81,94.34,92.42,127.68,19.82,60.32,67.32,45.44,68.2,63.97,1.93,1.89,2.46,Square_4
-9850.0,80.42,120.68,127.97,46.69,163.67,43.31,75.95,69.7,60.37,104.03,81.17,1.67,0.7,2.24,Square_5
-1605.0,36.8,62.34,64.4,51.79,70.84,9.69,36.02,35.36,30.99,41.7,36.8,2.17,1.79,2.33,Triangle_3
-1953.0,52.29,77.61,81.22,49.01,102.62,26.98,44.85,46.27,28.8,59.49,52.29,2.28,1.36,2.65,Rectangle_3
-2512.5,52.28,83.08,86.73,57.94,104.56,23.52,48.04,48.37,34.68,61.06,52.28,2.23,1.52,2.54,Triangle_4
