@relation whatever

@attribute Participant numeric
@attribute FingersCount numeric
@attribute TouchArea numeric
@attribute SmallestInscribedCircleRadius numeric
@attribute MeanPairedDistance numeric
@attribute MedianPairedDistance numeric
@attribute MinPairedDistance numeric
@attribute MaxPairedDistance numeric
@attribute SDPairedDistance numeric
@attribute MeanCentroidVertexDistance numeric
@attribute MedianCentroidVertexDistance numeric
@attribute MinCentroidVertexDistance numeric
@attribute MaxCentroidVertexDistance numeric
@attribute SDCentroidVertexDistance numeric
@attribute MeanCircleCenterVertexDistance numeric
@attribute MedianCircleCenterVertexDistance numeric
@attribute MinCircleCenterVertexDistance numeric
@attribute MaxCircleCenterVertexDistance numeric
@attribute SDCircleCenterVertexDistance numeric
@attribute MeanAngleSuccessiveVertices numeric
@attribute MedianAngleSuccessiveVertices numeric
@attribute MinAngleSuccessiveVertices numeric
@attribute MaxAngleSuccessiveVertices numeric
@attribute SDAngleSuccessiveVertices numeric
@attribute class {Circle_3, Rectangle_5, Triangle_5, Rectangle_4, Square_5, Triangle_3, Triangle_4, Circle_5, Square_4, Circle_4, Rectangle_3, Square_3}

@data
0, 3, -3192, 50.97, 87.1, 89.64, 75.47, 96.19, 10.59, 50.3, 49.28, 44.98, 56.65, 5.9, 50.97, 50.97, 50.97, 50.97, 0, 2.09, 2.15, 1.86, 2.27, 0.22, Circle_3
0, 3, -3013.5, 51.7, 86.74, 94.3, 66.41, 99.5, 17.8, 50.21, 46.82, 43.08, 60.72, 9.29, 51.7, 51.7, 51.7, 51.7, 0, 2.09, 2.27, 1.66, 2.36, 0.38, Circle_3
0, 3, -4576, 84.65, 118.99, 101.19, 95.6, 160.16, 35.77, 67.6, 81.2, 38.16, 83.43, 25.52, 84.65, 84.65, 84.65, 84.65, 0, 2.09, 1.86, 1.75, 2.67, 0.51, Rectangle_5
0, 3, -4139, 85.72, 115.85, 95.02, 94.56, 157.97, 36.48, 65.57, 80.8, 34.94, 80.98, 26.53, 85.72, 85.72, 85.72, 85.72, 0, 2.09, 1.79, 1.78, 2.71, 0.53, Rectangle_5
0, 3, -3755, 54.5, 93.77, 95.51, 85.15, 100.66, 7.9, 54.14, 53.38, 50.12, 58.93, 4.45, 54.5, 54.5, 54.5, 54.5, 0, 2.09, 2.13, 1.93, 2.22, 0.15, Triangle_5
0, 3, -3370, 52.34, 89.38, 87.2, 80.8, 100.12, 9.84, 51.58, 53.23, 45.02, 56.5, 5.91, 52.34, 52.34, 52.34, 52.34, 0, 2.09, 2.06, 1.93, 2.3, 0.19, Triangle_5
0, 3, -3241, 68.07, 98.41, 84.4, 79.81, 131, 28.32, 56.05, 66.62, 33.04, 68.48, 19.94, 68.07, 68.07, 68.07, 68.07, 0, 2.09, 1.87, 1.76, 2.65, 0.48, Rectangle_4
0, 3, -2853, 68.32, 94.71, 78.23, 77.8, 128.1, 28.92, 53.73, 65.66, 29.7, 65.83, 20.81, 68.32, 68.32, 68.32, 68.32, 0, 2.09, 1.8, 1.79, 2.69, 0.51, Rectangle_4
0, 3, -6182, 79.34, 127.3, 121.21, 102, 158.69, 28.83, 73.24, 79.22, 52.72, 87.78, 18.28, 79.34, 79.34, 79.34, 79.34, 0, 2.09, 2.04, 1.73, 2.51, 0.39, Square_5
0, 3, -6051, 79.8, 126.64, 116.36, 104.1, 159.45, 29.07, 72.74, 80.96, 50.91, 86.34, 19.09, 79.8, 79.8, 79.8, 79.8, 0, 2.09, 1.98, 1.78, 2.53, 0.39, Square_5
0, 3, -1589, 37.33, 62.58, 63.6, 50.99, 73.16, 11.12, 36.14, 36.3, 29.7, 42.42, 6.36, 37.33, 37.33, 37.33, 37.33, 0, 2.09, 2.14, 1.76, 2.38, 0.32, Triangle_3
0, 3, -1478, 35.58, 60.08, 62.77, 48.8, 68.68, 10.21, 34.72, 33.76, 29.67, 40.73, 5.59, 35.58, 35.58, 35.58, 35.58, 0, 2.09, 2.19, 1.75, 2.34, 0.31, Triangle_3
0, 3, -2684.5, 47.7, 80.84, 88.51, 65, 89.02, 13.72, 46.75, 42.77, 42.42, 55.07, 7.2, 47.7, 47.7, 47.7, 47.7, 0, 2.09, 2.27, 1.74, 2.28, 0.31, Triangle_4
0, 3, -2625, 46.09, 78.9, 84.12, 68.01, 84.58, 9.43, 45.58, 42.8, 42.49, 51.46, 5.09, 46.09, 46.09, 46.09, 46.09, 0, 2.09, 2.21, 1.85, 2.22, 0.22, Triangle_4
