@relation whatever

@attribute Participant numeric
@attribute FingersCount numeric
@attribute TouchArea numeric
@attribute SmallestInscribedCircleRadius numeric
@attribute MeanPairedDistance numeric
@attribute MedianPairedDistance numeric
@attribute MinPairedDistance numeric
@attribute MaxPairedDistance numeric
@attribute SDPairedDistance numeric
@attribute MeanCentroidVertexDistance numeric
@attribute MedianCentroidVertexDistance numeric
@attribute MinCentroidVertexDistance numeric
@attribute MaxCentroidVertexDistance numeric
@attribute SDCentroidVertexDistance numeric
@attribute MeanCircleCenterVertexDistance numeric
@attribute MedianCircleCenterVertexDistance numeric
@attribute MinCircleCenterVertexDistance numeric
@attribute MaxCircleCenterVertexDistance numeric
@attribute SDCircleCenterVertexDistance numeric
@attribute MeanAngleSuccessiveVertices numeric
@attribute MedianAngleSuccessiveVertices numeric
@attribute MinAngleSuccessiveVertices numeric
@attribute MaxAngleSuccessiveVertices numeric
@attribute SDAngleSuccessiveVertices numeric
@attribute class {Square_4, Rectangle_3, Square_5, Triangle_4, Square_3, Circle_5, Circle_3, Triangle_5, Rectangle_5, Rectangle_4, Circle_4, Triangle_3}

@data
3, 3, -6285, 71.29, 121.9, 118, 111.61, 136.09, 12.7, 70.35, 73.05, 61.68, 76.33, 7.69, 71.29, 71.29, 71.29, 71.29, 0, 2.09, 2.04, 1.95, 2.29, 0.18, Square_4
3, 3, -6162, 70.46, 120.65, 121.21, 107.62, 133.14, 12.77, 69.66, 69.86, 62.2, 76.92, 7.36, 70.46, 70.46, 70.46, 70.46, 0, 2.09, 2.11, 1.9, 2.27, 0.18, Square_4
3, 3, -1998.5, 39.57, 68.24, 68.6, 63.51, 72.62, 4.57, 39.4, 39.31, 36.83, 42.06, 2.62, 39.57, 39.57, 39.57, 39.57, 0, 2.09, 2.11, 1.97, 2.2, 0.12, Rectangle_3
3, 3, -2130, 41.8, 71.34, 75.69, 60.3, 78.03, 9.63, 41.22, 39.05, 37.48, 47.14, 5.19, 41.8, 41.8, 41.8, 41.8, 0, 2.09, 2.21, 1.81, 2.26, 0.24, Rectangle_3
3, 3, -7778, 82.46, 138.13, 134.71, 117.29, 162.37, 22.73, 79.67, 83.06, 64.5, 91.45, 13.79, 82.46, 82.46, 82.46, 82.46, 0, 2.09, 2.07, 1.83, 2.39, 0.28, Square_5
3, 3, -7695, 81.77, 137.04, 126.32, 123.58, 161.22, 20.98, 78.99, 86.01, 63.66, 87.32, 13.3, 81.77, 81.77, 81.77, 81.77, 0, 2.09, 1.97, 1.93, 2.39, 0.26, Square_5
3, 3, -3226.5, 61.34, 98.01, 117.63, 55.8, 120.6, 36.58, 57.48, 48.85, 46.38, 77.21, 17.13, 61.34, 61.34, 61.34, 61.34, 0, 2.09, 2.5, 1.25, 2.53, 0.73, Triangle_4
3, 3, -3041.5, 65.36, 101.64, 127.44, 48.3, 129.19, 46.2, 60.31, 49.22, 47.68, 84.02, 20.55, 65.36, 65.36, 65.36, 65.36, 0, 2.09, 2.61, 1.04, 2.63, 0.91, Triangle_4
3, 3, -3758, 55.67, 94.74, 93.86, 83.23, 107.12, 11.97, 54.68, 55.77, 47.14, 61.14, 7.06, 55.67, 55.67, 55.67, 55.67, 0, 2.09, 2.09, 1.88, 2.32, 0.22, Square_3
3, 3, -3315, 52.92, 89.39, 82.49, 82.22, 103.46, 12.19, 51.55, 55.9, 42.72, 56.04, 7.65, 52.92, 52.92, 52.92, 52.92, 0, 2.09, 1.97, 1.96, 2.36, 0.23, Square_3
