Participant	Block	Trial	Token	Fingercount	F1.x	F1.y	F2.x	F2.y	F3.x	F3.y	F4.x	F4.y	F5.x	F5.y	ReplicationCount
0	1	2	Circle_3	3	1458	835	1528	891	1522	795	_	_	_	_	1
0	1	3	Circle_3	3	1593	788	1530	809	1583	887	_	_	_	_	2
0	1	2	Rectangle_5	3	1541	719	1573	815	1617	661	_	_	_	_	1
0	1	3	Rectangle_5	3	1654	606	1582	668	1611	758	_	_	_	_	2
0	1	2	Triangle_5	3	1445	760	1539	724	1510	815	_	_	_	_	1
0	1	3	Triangle_5	3	1499	722	1599	717	1547	787	_	_	_	_	2
0	1	2	Rectangle_4	3	1495	859	1446	796	1496	728	_	_	_	_	1
0	1	3	Rectangle_4	3	1482	690	1477	818	1435	752	_	_	_	_	2
0	1	2	Square_5	3	1418	732	1514	806	1480	651	_	_	_	_	1
0	1	3	Square_5	3	1566	905	1510	803	1599	749	_	_	_	_	2
0	1	2	Triangle_3	3	1491	835	1563	822	1525	873	_	_	_	_	1
0	1	3	Triangle_3	3	1498	875	1564	856	1532	910	_	_	_	_	2
0	1	2	Triangle_4	3	1491	800	1566	753	1543	839	_	_	_	_	1
0	1	3	Triangle_4	3	1546	817	1626	791	1591	868	_	_	_	_	2
0	1	2	Circle_5	3	1530	867	1424	775	1517	710	_	_	_	_	1
0	1	3	Circle_5	3	1552	740	1609	589	1522	599	_	_	_	_	2
0	1	2	Square_4	3	1537	757	1481	678	1552	630	_	_	_	_	1
0	1	3	Square_4	3	1497	841	1544	724	1460	760	_	_	_	_	2
0	1	2	Circle_4	3	1411	890	1455	760	1367	775	_	_	_	_	1
0	1	3	Circle_4	3	1533	743	1457	766	1512	872	_	_	_	_	2
0	1	2	Rectangle_3	3	1472	862	1513	911	1513	809	_	_	_	_	1
0	1	3	Rectangle_3	3	1553	811	1546	910	1510	859	_	_	_	_	2
0	1	2	Square_3	3	1569	791	1510	848	1565	891	_	_	_	_	1
0	1	3	Square_3	3	1525	780	1585	730	1572	831	_	_	_	_	2
2	1	2	Square_5	4	1412	659	1494	694	1346	773	1499	730	_	_	1
2	1	3	Square_5	4	1603	776	1493	915	1496	789	1629	811	_	_	2
2	1	2	Rectangle_3	3	1693	985	1776	915	1748	887	_	_	_	_	1
2	1	3	Rectangle_3	3	1678	949	1761	885	1736	853	_	_	_	_	2
2	1	2	Rectangle_5	3	1616	968	1744	859	1765	895	_	_	_	_	1
2	1	3	Rectangle_5	3	1605	977	1703	841	1735	872	_	_	_	_	2
2	1	2	Circle_4	3	1571	940	1685	859	1614	825	_	_	_	_	1
2	1	3	Circle_4	3	1562	908	1643	797	1568	783	_	_	_	_	2
2	1	2	Square_4	3	1544	959	1652	883	1576	840	_	_	_	_	1
2	1	3	Square_4	4	1604	782	1542	929	1504	789	1629	812	_	_	2
2	1	2	Circle_5	3	1454	904	1504	765	1566	792	_	_	_	_	1
2	1	3	Circle_5	3	1687	802	1579	912	1723	845	_	_	_	_	2
2	1	2	Triangle_5	3	1635	950	1691	840	1610	851	_	_	_	_	1
2	1	3	Triangle_5	3	1538	940	1597	841	1519	838	_	_	_	_	2
2	1	2	Triangle_4	3	1693	853	1622	855	1654	944	_	_	_	_	1
2	1	3	Triangle_4	3	1511	905	1541	798	1480	803	_	_	_	_	2
2	1	2	Square_3	3	1684	857	1604	840	1612	947	_	_	_	_	1
2	1	3	Square_3	3	1702	806	1641	890	1607	802	_	_	_	_	2
2	1	2	Triangle_3	3	1721	832	1687	908	1662	836	_	_	_	_	1
2	1	3	Triangle_3	3	1691	862	1650	947	1635	876	_	_	_	_	2
2	1	2	Rectangle_4	3	1691	918	1807	797	1775	809	_	_	_	_	1
2	1	3	Rectangle_4	3	1618	983	1707	871	1735	909	_	_	_	_	2
2	1	2	Circle_3	3	1620	874	1684	776	1636	770	_	_	_	_	1
2	1	3	Circle_3	3	1598	816	1545	906	1551	801	_	_	_	_	2
1	1	2	Square_5	3	1241	494	1305	574	1150	596	_	_	_	_	1
1	1	3	Square_5	3	1325	606	1167	623	1256	527	_	_	_	_	2
1	1	2	Circle_4	3	1240	595	1170	571	1163	693	_	_	_	_	1
1	1	3	Circle_4	3	1323	707	1357	587	1410	615	_	_	_	_	2
1	1	2	Rectangle_5	3	1241	581	1398	561	1316	531	_	_	_	_	1
1	1	3	Rectangle_5	3	1344	617	1493	573	1413	551	_	_	_	_	2
1	1	2	Triangle_4	3	1240	628	1284	561	1217	571	_	_	_	_	1
1	1	3	Triangle_4	3	1322	558	1275	635	1253	569	_	_	_	_	2
1	1	2	Square_4	3	1398	585	1266	606	1330	536	_	_	_	_	1
1	1	3	Square_4	3	1442	631	1309	639	1374	570	_	_	_	_	2
1	1	2	Rectangle_3	3	1417	596	1314	603	1352	569	_	_	_	_	1
1	1	3	Rectangle_3	3	1408	593	1311	617	1348	577	_	_	_	_	2
1	1	2	Triangle_5	3	1352	591	1319	685	1273	603	_	_	_	_	1
1	1	3	Triangle_5	3	1387	602	1346	694	1307	609	_	_	_	_	2
1	1	2	Triangle_3	3	1227	640	1186	694	1159	650	_	_	_	_	1
1	1	3	Triangle_3	3	1305	625	1290	677	1239	625	_	_	_	_	2
1	1	2	Square_3	3	1316	624	1215	621	1263	566	_	_	_	_	1
1	1	3	Square_3	3	1435	597	1332	605	1373	553	_	_	_	_	2
1	1	2	Circle_3	3	1286	611	1213	670	1233	585	_	_	_	_	1
1	1	3	Circle_3	3	1237	622	1155	681	1202	586	_	_	_	_	2
1	1	2	Rectangle_4	3	1354	598	1479	568	1406	551	_	_	_	_	1
1	1	3	Rectangle_4	3	1269	597	1331	553	1398	583	_	_	_	_	2
